,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,10,1,10,1,10,0,10,10,1,1,10,10,0,1,10,1
1,10,10,1,10,10,0,10,10,1,10,1,10,0,10,1,1
2,1,10,1,1,10,0,1,1,1,10,10,10,0,1,10,1
3,1,1,1,10,1,0,10,1,10,1,1,10,0,10,1,10
4,1,10,1,1,10,0,10,1,10,10,10,10,0,10,1,10
5,1,10,10,10,1,0,0,0,0,0,0,0,0,0,0,0
6,10,10,10,1,10,0,1,10,1,1,10,1,10,10,1,10
7,1,1,10,10,10,0,1,1,1,10,1,10,10,1,10,10
8,1,10,1,10,10,0,1,10,10,1,10,10,1,10,1,1
9,10,10,10,10,10,0,1,10,10,10,1,10,10,10,1,10
10,0,0,0,0,0,0,0,0,0,0,0,10,1,10,1,10
11,1,10,10,10,10,1,10,0,0,0,0,10,10,1,1,10
12,1,10,1,1,1,1,1,0,0,0,0,10,1,10,10,1
13,10,10,1,10,10,1,10,1,1,10,0,10,10,1,1,1
14,10,10,10,1,1,10,1,1,10,1,0,1,1,10,10,1
15,10,1,1,1,10,1,1,10,1,10,0,1,10,10,10,1
